For April, day 1, temperature = 24.78, humidity = 0.75, pressure = 1015.78
For April, day 2, temperature = 25.97, humidity = 0.49, pressure = 1024.53
For April, day 3, temperature = 32.1, humidity = 0.51, pressure = 1023.66
For April, day 4, temperature = 49.36, humidity = 0.83, pressure = 1001.75
For April, day 5, temperature = 39.94, humidity = 0.63, pressure = 1001.66
For April, day 6, temperature = 37.01, humidity = 0.49, pressure = 1009.69
For April, day 7, temperature = 38.59, humidity = 0.4, pressure = 1023.81
For April, day 8, temperature = 48.58, humidity = 0.69, pressure = 1018.17
For April, day 9, temperature = 43.09, humidity = 0.67, pressure = 1020.26
For April, day 10, temperature = 42.7, humidity = 0.52, pressure = 1027.78
For April, day 11, temperature = 43.55, humidity = 0.48, pressure = 1028.64
For April, day 12, temperature = 46.82, humidity = 0.42, pressure = 1030.46
For April, day 13, temperature = 47.99, humidity = 0.41, pressure = 1030.93
For April, day 14, temperature = 55.22, humidity = 0.45, pressure = 1025.46
For April, day 15, temperature = 60.79, humidity = 0.41, pressure = 1017.71
For April, day 16, temperature = 51.88, humidity = 0.36, pressure = 1019.55
For April, day 17, temperature = 49.12, humidity = 0.45, pressure = 1022.0
For April, day 18, temperature = 63.49, humidity = 0.47, pressure = 1013.55
For April, day 19, temperature = 62.02, humidity = 0.75, pressure = 1009.51
For April, day 20, temperature = 49.35, humidity = 0.36, pressure = 1015.24
For April, day 21, temperature = 51.23, humidity = 0.36, pressure = 1016.48
For April, day 22, temperature = 48.22, humidity = 0.61, pressure = 1010.26
For April, day 23, temperature = 43.59, humidity = 0.69, pressure = 1011.79
For April, day 24, temperature = 48.35, humidity = 0.37, pressure = 1014.59
For April, day 25, temperature = 50.01, humidity = 0.51, pressure = 1018.71
For April, day 26, temperature = 52.91, humidity = 0.53, pressure = 1021.23
For April, day 27, temperature = 46.74, humidity = 0.67, pressure = 1022.58
For April, day 28, temperature = 45.4, humidity = 0.9, pressure = 1015.82
